2020.01.27 16:58:58.106 | > N | 190a | 0002 | 41542b554e4954533a310d0a (AT+UNITS:1  )
2020.01.27 16:58:58.162 | < W | 190a | 0001 | 41542b4d555349433d300d0a (AT+MUSIC=0  )
2020.01.27 16:58:58.194 | > N | 190a | 0002 | 41542b4d555349433a300d0a (AT+MUSIC:0  )
2020.01.27 16:58:58.260 | < W | 190a | 0001 | 41542b48414e445355503d320d0a (AT+HANDSUP=2  )
2020.01.27 16:58:58.301 | > N | 190a | 0002 | 41542b48414e445355503a320d0a (AT+HANDSUP:2  )
2020.01.27 16:58:58.357 | < W | 190a | 0001 | 41542b5349543d3036302c303930302c31383030 (AT+SIT=060,0900,1800)
2020.01.27 16:58:58.360 | < W | 190a | 0001 | 2c300d0a (,0  )
2020.01.27 16:58:58.390 | > N | 190a | 0002 | 41542b5349543a3036302c303930302c31383030 (AT+SIT:060,0900,1800)
2020.01.27 16:58:58.404 | > N | 190a | 0002 | 2c300d0a (,0  )
2020.01.27 16:58:58.503 | < W | 190a | 0001 | 41542b414c41524d3d302c30302c313131313131 (AT+ALARM=0,00,111111)
2020.01.27 16:58:58.506 | < W | 190a | 0001 | 31302c303830300d0a (10,0800  )
2020.01.27 16:58:58.557 | > N | 190a | 0002 | 41542b414c41524d3a302c30302c313131313131 (AT+ALARM:0,00,111111)
2020.01.27 16:58:58.574 | > N | 190a | 0002 | 31302c303830300d0a (10,0800  )
2020.01.27 16:58:58.650 | < W | 190a | 0001 | 41542b414c41524d323d302c30302c3131313131 (AT+ALARM2=0,00,11111)
2020.01.27 16:58:58.653 | < W | 190a | 0001 | 3131302c303830300d0a (110,0800  )
2020.01.27 16:58:58.690 | > N | 190a | 0002 | 41542b414c41524d323a302c30302c3131313131 (AT+ALARM2:0,00,11111)
2020.01.27 16:58:58.714 | > N | 190a | 0002 | 3131302c303830300d0a (110,0800  )
2020.01.27 16:58:58.796 | < W | 190a | 0001 | 41542b444553543d31303030300d0a (AT+DEST=10000  )
2020.01.27 16:58:58.825 | > N | 190a | 0002 | 41542b444553543a31303030300d0a (AT+DEST:10000  )
2020.01.27 16:58:58.893 | < W | 190a | 0001 | 42542b5645520d0a (BT+VER  )
2020.01.27 16:58:58.930 | > N | 190a | 0002 | 42542b5645523a3132322e3034332e3031380d0a (BT+VER:122.043.018  )
2020.01.27 17:02:26.633 | < W | 190a | 0001 | 41542b544f504143453d300d0a (AT+TOPACE=0  )
2020.01.27 17:02:26.685 | > N | 190a | 0002 | 41542b544f504143453a300d0a (AT+TOPACE:0  )
2020.01.27 17:02:26.776 | < W | 190a | 0001 | 41542b53594e3d310d0a (AT+SYN=1  )
2020.01.27 17:02:26.831 | > N | 190a | 0002 | 41542b53594e3a310d0a (AT+SYN:1  )
2020.01.27 17:02:26.922 | < W | 190a | 0001 | 41542b54494d455a4f4e450d0a (AT+TIMEZONE  )
2020.01.27 17:02:26.967 | > N | 190a | 0002 | 41542b54494d455a4f4e453a300d0a (AT+TIMEZONE:0  )
2020.01.27 17:02:27.068 | < W | 190a | 0001 | 41542b5354455053544f52450d0a (AT+STEPSTORE  )
2020.01.27 17:02:27.101 | > N | 190a | 0002 | 41542b5354455053544f52453a4f4b0d0a (AT+STEPSTORE:OK  )
2020.01.27 17:02:27.166 | < W | 190a | 0001 | 41542b444154413d300d0a (AT+DATA=0  )
2020.01.27 17:02:27.225 | > N | 190a | 0002 | 41542b444154413a302c3030302c3132302c3030 (AT+DATA:0,000,120,00)
2020.01.27 17:02:27.250 | > N | 190a | 0002 | 302c3030302c3030302c300d0a (0,000,000,0  )
2020.01.27 17:02:27.313 | < W | 190a | 0001 | 41542b44543d3230323030313237313730323235 (AT+DT=20200127170225)
2020.01.27 17:02:27.316 | < W | 190a | 0001 | 0d0a (  )
